车辆型号,生产企业,驱动型式,额定功率,变速器类型,发动机型号,车辆净重量,车辆最大重量,市郊油耗,市区油耗,综合油耗
SVW71410JR,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1460,2000,5.3,7.5,6.1
A1 1.4 TFSI plus,德国奥迪汽车股份有限公司,前轮驱动,136,NULL,CTJ,1270,1640,5.1,8.2,6.2
A1 1.4 TFSI plus,德国奥迪汽车股份有限公司,前轮驱动,136,NULL,CTJ,1270,1640,5.1,8.2,6.2
A1 SB 1.4 TFSI plus,德国奥迪汽车股份有限公司,前轮驱动,136,NULL,CNU,1295,1685,5.1,8.2,6.2
A1 SB 1.4 TFSI plus,德国奥迪汽车股份有限公司,前轮驱动,136,NULL,CNU,1295,1685,5.1,8.2,6.2
A1 SB 1.4 TFSI plus,德国奥迪汽车股份有限公司,前轮驱动,136,NULL,CTJ,1295,1685,5.1,8.2,6.2
A1 SB 1.4 TFSI,德国奥迪汽车股份有限公司,前轮驱动,90,NULL,CNV,1235,1640,4.6,7.1,5.5
A1 SB 1.4 TFSI,德国奥迪汽车股份有限公司,前轮驱动,90,NULL,CNV,1260,1640,4.6,7.1,5.5
FV7142FBDGG,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1345,1830,5.4,8.2,6.4
FV7142FBDWG,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1345,1830,5.4,8.2,6.4
FV7142FBMGG,一汽-大众汽车有限公司,前轮驱动,96,MT,CFB,1325,1810,5.5,8.5,6.6
FV7142FBMWG,一汽-大众汽车有限公司,前轮驱动,96,MT,CFB,1325,1810,5.5,8.5,6.6
SVW7149GRD,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.2,7.4,6
FV7146FBDGB,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1380,1860,5.1,7.3,5.9
FV7146FBDWB,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1380,1860,5.1,7.3,5.9
FV7147FADGB,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,1930,5.3,7.5,6.2
FV7147FADWB,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,1930,5.3,7.5,6.2
SVW6451QGD,上海大众汽车有限公司,前轮驱动,96,MT,CFB,1500,1950,5.9,8.6,6.9
SVW7149LRD,上海大众汽车有限公司,前轮驱动,96,MT,CFB,1445,2065,5.4,8.9,6.7
SVW7149MRD,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.6,8.6,6.7
SVW7149NRD,上海大众汽车有限公司,前轮驱动,96,MT,CFB,1445,2065,5.4,8.9,6.7
SVW7149PRD,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.6,8.6,6.7
SVW7149QRD,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.2,7.4,6
FV7147FADGG,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1470,1930,5.7,9,6.9
SCIROCCO 1.4 90KW,大众汽车股份公司,前轮驱动,90,AT,CMS,1356,1730,5.4,8.5,6.5
SCIROCCO 1.4 90KW,大众汽车股份公司,前轮驱动,90,AT,CMS,1356,1730,5.3,8.5,6.5
SCIROCCO 1.4 C5,大众汽车股份公司,前轮驱动,118,AT,CTK,1356,1730,5.4,8.6,6.5
SCIROCCO 1.4,大众汽车股份公司,前轮驱动,118,AT,CAV,1356,1730,5.4,8.4,6.5
BEETLE 1.4 C5,大众汽车股份公司,前轮驱动,118,AT,CTK,1365,1770,5.1,7.9,6.1
BEETLE 1.4,大众汽车股份公司,前轮驱动,118,AT,CNW,1365,1770,5.3,8.2,6.3
BEETLE 1.4,大众汽车股份公司,前轮驱动,118,AT,CNW,1365,1770,5.1,7.9,6.1
CROSS GOLF 1.4 C5,大众汽车股份公司,前轮驱动,118,AT,CTK,1503,2010,5.9,9,7
CROSS GOLF 1.4,大众汽车股份公司,前轮驱动,118,AT,CNW,1503,2010,6,8.8,7
GOLF 1.4,大众汽车股份公司,前轮驱动,118,AT,CNW,1389,1860,5.2,7.9,6.2
GOLF CABRIO 1.4 C5,大众汽车股份公司,前轮驱动,118,AT,CTK,1503,1940,5.6,8.6,6.7
GOLF CABRIO 1.4,大众汽车股份公司,前轮驱动,118,AT,CNW,1503,1940,5.5,8.7,6.7
GOLF PLUS 1.4,大众汽车股份公司,前轮驱动,118,AT,CNW,1495,2010,5.7,8.7,6.8
GOLF VARIANT C5,大众汽车股份公司,前轮驱动,118,AT,CTK,1570,1495,5.2,8.5,6.4
GOLF VARIANT,大众汽车股份公司,前轮驱动,118,AT,CNW,1495,1970,5.3,8.3,6.4
IBIZA 1.4 TSI 2D,西雅特汽车股份有限公司,前轮驱动,110,AT,CTJ,1235,1680,5.3,8.6,6.5
IBIZA 1.4 TSI 4D,西雅特汽车股份有限公司,前轮驱动,110,AT,CTJ,1260,1705,5.3,8.6,6.5
IBIZA 1.4 TSI ST,西雅特汽车股份有限公司,前轮驱动,110,AT,CTJ,1285,1735,5.3,8.6,6.5
A3 Sportback 1.4T,德国奥迪汽车股份有限公司,前轮驱动,92,AT,CMS,1460,1870,5.1,8,6.1
SVW6440QGD,上海大众汽车有限公司,前轮驱动,96,MT,CFB,1520,2030,6.1,9.6,7.4
SVW6440RGD,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1550,2060,5.8,8.8,6.9
SVW6440SGD,上海大众汽车有限公司,前轮驱动,96,MT,CFB,1560,2085,6.1,9.6,7.4
SVW6440TGD,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1580,2105,5.8,8.8,6.9
SVW6451VGD,上海大众汽车有限公司,前轮驱动,96,MT,CFB,1500,1950,5.9,8.6,6.9
SVW71410PR,上海大众汽车有限公司,前轮驱动,96,MT,CFB,1435,1975,5.4,8.9,6.7
SVW71410RR,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1460,2000,5.6,8.6,6.7
SVW71410SR,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1460,2000,5.1,7.3,5.9
SVW71411CR,上海大众汽车有限公司,前轮驱动,63,MT,CLP,1092,1572,4.7,8.2,6
SVW71411DR,上海大众汽车有限公司,前轮驱动,63,AT,CLP,1122,1602,5.2,9.5,6.8
SVW71411FR,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1215,1660,5.1,7.8,6.1
SVW7146GRD,上海大众汽车有限公司,前轮驱动,96,MT,CFB,1360,1860,5.3,8.6,6.5
SVW7146HRD,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1380,1880,5.4,8.1,6.4
SVW7148GRD,上海大众汽车有限公司,前轮驱动,63,MT,CLP,1100,1550,5,8.7,6.4
SVW7148HRD,上海大众汽车有限公司,前轮驱动,63,AT,CLP,1150,1600,5.3,9.5,6.8
SVW7149ARD,上海大众汽车有限公司,前轮驱动,96,MT,CFB,1445,2065,5.4,8.9,6.7
SVW7149BRD,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.6,8.6,6.7
SVW7149CRD,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.1,7.3,5.9
A1 SB 1.4 TFSI,德国奥迪汽车股份有限公司,前轮驱动,90,AT,CNV,1235,1640,4.6,7.1,5.5
BEETLE CABRIO 1.4,大众汽车股份公司,前轮驱动,118,AT,CTK,1463,1850,5.2,9.1,6.6
FV7146FBDAB,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1380,1860,5.1,7.3,5.9
FV7146FBDAG,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1380,1860,5.4,8.2,6.4
FV7146FBMAG,一汽-大众汽车有限公司,前轮驱动,96,MT,CFB,1350,1840,5.4,8.4,6.5
FV7142FBDAG,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1345,1830,5.4,8.2,6.4
FV7142FBMAG,一汽-大众汽车有限公司,前轮驱动,96,MT,CFB,1325,1810,5.5,8.5,6.6
FV7147FADAB,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,1930,5.3,7.5,6.2
FV7147FADAG,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1470,1930,5.7,9,6.9
SVW6440UGD,上海大众汽车有限公司,前轮驱动,96,MT,CFB,1520,2030,6.1,9.6,7.4
SVW6440VGD,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1550,2060,5.8,8.8,6.9
SVW6440XGD,上海大众汽车有限公司,前轮驱动,96,MT,CFB,1560,2085,6.1,9.6,7.4
SVW6440YGD,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1580,2105,5.8,8.8,6.9
SVW6451AGD,上海大众汽车有限公司,前轮驱动,96,MT,CFB,1500,1950,5.9,8.6,6.9
SVW71410CR,上海大众汽车有限公司,前轮驱动,96,MT,CFB,1435,1975,5.4,8.9,6.7
SVW71410DR,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1460,2000,5.6,8.6,6.7
SVW71410ER,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1460,2000,5.1,7.3,5.9
SVW7149RRD,上海大众汽车有限公司,前轮驱动,96,MT,CFB,1445,2065,5.4,8.9,6.7
SVW7149SRD,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.6,8.6,6.7
SVW7149TRD,上海大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.1,7.3,5.9
FV7146FBDGG,一汽-大众汽车有限公司,前轮驱动,96,DCT,DAG,1380,1860,5.4,8.2,6.4
FV7146FBDBB,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1380,1860,5.1,7.3,5.9
FV7146FBDBG,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1380,1860,5.4,8.2,6.4
FV7146FBMBG,一汽-大众汽车有限公司,前轮驱动,96,MT,CFB,1350,1840,5.4,8.4,6.5
FV7142FBDBG,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1345,1830,5.4,8.2,6.4
FV7142FBMBG,一汽-大众汽车有限公司,前轮驱动,96,MT,CFB,1325,1810,5.5,8.5,6.6
FV7147FADBB,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,1930,5.3,7.5,6.2
FV7147FADBG,一汽-大众汽车有限公司,前轮驱动,96,DCT,CFB,1470,1930,5.7,9,6.9
LF7146,重庆力帆乘用车有限公司,前轮驱动,104,MT,LF476ZLQ,1395,1770,5.3,8.8,6.8
SCIROCCO 1.4 C5,大众汽车股份公司,前轮驱动,118,AT,CTK,1336,1730,5.4,8.6,6.5
GOLF CABRIO 1.4 C5,大众汽车股份公司,前轮驱动,118,AT,CTK,1503,1940,5.6,8.6,6.7
BEETLE C CZDAFD7501,大众汽车股份公司,前轮驱动,118,AT,CZD,1461,1830,5.2,6.8,5.8
BEETLE CZDAFD7501,大众汽车股份公司,前轮驱动,118,AT,CZD,1381,1810,5,6.9,5.7
CA7145ATE5TG2,中国第一汽车集团公司,前轮驱动,104,AT,CA4GB14TD,1432,1882,5.5,9.3,6.6
SVW6440VGD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1550,2060,5.8,8.8,6.9
SVW6440SGD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1560,2085,6.1,9.6,7.4
SVW6440EGD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1520,2030,6.1,9.6,7.4
SVW6440FGD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1555,2065,5.9,9.2,7.1
SVW6440GGD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1560,2085,6.1,9.6,7.4
SVW6440HGD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1585,2110,5.9,9.2,7.1
SVW6440JGD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1550,2060,5.7,9,6.9
SVW6440KGD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1580,2105,5.7,9,6.9
SVW6440UGD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1520,2030,6.1,9.6,7.4
SVW6440XGD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1560,2085,6.1,9.6,7.4
SVW6440YGD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1580,2105,5.8,8.8,6.9
SVW7144CRD,上汽大众汽车有限公司,前轮驱动,63,MT,CDD,1139,1581,5.5,8.5,6.6
SVW7144ARD,上汽大众汽车有限公司,前轮驱动,63,MT,CDD,1127,1600,5.5,8.5,6.6
SVW7149LRD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1445,2065,5.4,8.9,6.7
SVW7149MRD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.6,8.6,6.7
SVW7149RRD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1445,2065,5.4,8.9,6.7
SVW7149SRD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.6,8.6,6.7
SVW7149TRD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.1,7.3,5.9
SVW6451AGD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1500,1950,5.9,8.6,6.9
SVW71410AR,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1435,1975,5.7,9.1,6.9
SVW7149NRD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1445,2065,5.4,8.9,6.7
SVW71410BR,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1460,2000,5.5,8.7,6.7
SVW7149PRD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.6,8.6,6.7
SVW7149QRD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.2,7.4,6
SVW71410GR,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1435,1975,5.5,8.8,6.7
SVW71410CR,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1435,1975,5.4,8.9,6.7
SVW71410DR,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1460,2000,5.6,8.6,6.7
SVW71410ER,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1460,2000,5.1,7.3,5.9
SVW7148GRD,上汽大众汽车有限公司,前轮驱动,63,MT,CLP,1100,1550,5,8.7,6.4
SVW7148HRD,上汽大众汽车有限公司,前轮驱动,63,AT,CLP,1150,1600,5.3,9.5,6.8
SVW7149ARD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1445,2065,5.4,8.9,6.7
SVW7149BRD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.6,8.6,6.7
SVW7149CRD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.1,7.3,5.9
SVW6451VGD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1500,1950,5.9,8.6,6.9
SVW6451QGD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1500,1950,5.9,8.6,6.9
SVW7146BRD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1380,1879,5.3,8.1,6.4
SVW7146CRD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1326,1814,5.1,8,6.1
SVW7149DRD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1450,2070,5.8,9.1,7
SVW7149ERD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.6,8.5,6.7
SVW7146ARD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1360,1860,5.5,8.4,6.5
SVW71410PR,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1435,1975,5.4,8.9,6.7
SVW7148ERD,上汽大众汽车有限公司,前轮驱动,63,MT,CLP,1100,1580,5.6,9,6.8
SVW7148FRD,上汽大众汽车有限公司,前轮驱动,63,AT,CLP,1145,1625,6.1,10.5,7.7
SVW71410RR,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1460,2000,5.6,8.6,6.7
SVW71410SR,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1460,2000,5.1,7.3,5.9
SVW71411BR,上汽大众汽车有限公司,前轮驱动,63,AT,CLP,1122,1597,5.3,9.4,6.8
SVW71411AR,上汽大众汽车有限公司,前轮驱动,63,MT,CLP,1092,1572,5.2,8.4,6.4
SVW71411FR,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1215,1660,5.1,7.8,6.1
SVW71411CR,上汽大众汽车有限公司,前轮驱动,63,MT,CLP,1092,1572,4.7,8.2,6
SVW71411DR,上汽大众汽车有限公司,前轮驱动,63,AT,CLP,1122,1602,5.2,9.5,6.8
SVW7148KRD,上汽大众汽车有限公司,前轮驱动,63,AT,CLP,1145,1520,5.3,9.4,6.8
SVW7148JRD,上汽大众汽车有限公司,前轮驱动,63,MT,CLP,1100,1475,5.2,8.8,6.5
SVW7144GRD,上汽大众汽车有限公司,前轮驱动,63,MT,CDD,1120,1495,5.5,8.5,6.6
SVW7144LRD,上汽大众汽车有限公司,前轮驱动,63,MT,CDD,1120,1495,5.3,8.5,6.5
SVW7144HRD,上汽大众汽车有限公司,前轮驱动,63,AT,CDD,1167,1542,5.9,10.3,7.5
SVW7148NRD,上汽大众汽车有限公司,前轮驱动,63,MT,CLP,1100,1550,5,8.7,6.4
SVW7144DRD,上汽大众汽车有限公司,前轮驱动,63,AT,CDD,1180,1621,5.9,10.3,7.5
SVW7148PRD,上汽大众汽车有限公司,前轮驱动,63,AT,CLP,1150,1600,5.3,9.5,6.8
SVW7148ARD,上汽大众汽车有限公司,前轮驱动,63,MT,CDD,1100,1579,5.7,9,6.9
SVW7148BRD,上汽大众汽车有限公司,前轮驱动,63,AT,CDD,1160,1638,6.1,10.5,7.7
SVW7144BRD,上汽大众汽车有限公司,前轮驱动,63,AT,CDD,1168,1640,5.9,10.3,7.5
SVW6451EGD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1480,1930,6.2,10,7.6
SVW7147RRD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1305,1815,5.1,8.4,6.3
SVW7147SRD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1325,1835,5.1,8.4,6.3
SVW7149FRD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1445,2065,5.5,8.8,6.7
SVW71410MR,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1435,1975,5.4,8.9,6.7
SVW71410NR,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1460,2000,5.6,8.6,6.7
SVW71411ER,上汽大众汽车有限公司,前轮驱动,63,MT,CLP,1092,1572,4.7,8.2,6
SVW7147FRD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1325,1851,5.3,8.6,6.5
SVW71411PR,上汽大众汽车有限公司,前轮驱动,63,AT,CLP,1122,1602,5.2,9.5,6.8
SVW7147ERD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1305,1831,5.5,8.7,6.7
SVW71411NR,上汽大众汽车有限公司,前轮驱动,63,MT,CLP,1092,1572,4.7,8.2,6
SVW6451PGD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1480,1930,6.3,9.8,7.6
SVW71411LR,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1215,1660,5.1,7.8,6.1
SVW71411MR,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1215,1660,5.1,7.8,6.1
SVW7148CRD,上汽大众汽车有限公司,前轮驱动,63,MT,CLP,1100,1550,5,8.7,6.4
SVW7148DRD,上汽大众汽车有限公司,前轮驱动,63,AT,CLP,1150,1600,5.3,9.5,6.8
SVW6440LGD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1520,2030,6.1,9.6,7.4
SVW6440MGD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1550,2060,5.8,8.8,6.9
SVW6440NGD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1560,2085,6.1,9.6,7.4
SVW6440PGD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1580,2105,5.8,8.8,6.9
SVW7149HRD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1445,2065,5.4,8.9,6.7
SVW7149JRD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.6,8.6,6.7
SVW7147VRD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1305,1815,5,8.5,6.3
SVW7147WRD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1325,1835,5.2,8.2,6.3
SVW7146DRD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1365,1865,5.1,7.3,5.9
SVW7146ERD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1360,1860,5.3,8.6,6.5
SVW7146FRD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1380,1880,5.4,8.1,6.4
SVW71410JR,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1460,2000,5.3,7.5,6.1
SVW7149GRD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1480,2100,5.2,7.4,6
SVW6440QGD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1520,2030,6.1,9.6,7.4
SVW6440RGD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1550,2060,5.8,8.8,6.9
SVW6440TGD,上汽大众汽车有限公司,前轮驱动,96,DCT,CFB,1580,2105,5.8,8.8,6.9
SVW7146GRD,上汽大众汽车有限公司,前轮驱动,96,MT,CFB,1360,1860,5.3,8.6,6.5
